Region,Country,ISO Code,Drug Group,Drug,Year,KG Equivalent
Africa,Algeria,DZA,Cannabis-type,Marijuana (herb),1970,141
Africa,Algeria,DZA,Cannabis-type,Hashish (resin),1970,140
Americas,Argentina,ARG,Cocaine-type,Coca leaf,1970,13482
Oceania,Australia,AUS,Opioids,Heroin,1970,1
Oceania,Australia,AUS,Opioids,Opium,1970,9
Oceania,Australia,AUS,Cannabis-type,Marijuana (herb),1970,109
Europe,Austria,AUT,Opioids,Opium,1970,1
Europe,Austria,AUT,Cannabis-type,Marijuana (herb),1970,28
Asia,Bahrain,BHR,Opioids,Opium,1970,3
Asia,Bahrain,BHR,Cannabis-type,Marijuana (herb),1970,96
Europe,Belgium,BEL,Cannabis-type,Marijuana (herb),1970,33
Africa,Botswana,BWA,Cannabis-type,Marijuana (herb),1970,29
Europe,Bulgaria,BGR,Cannabis-type,Marijuana (herb),1970,1375
Americas,Canada,CAN,Opioids,Heroin,1970,14
Americas,Canada,CAN,Cannabis-type,Marijuana (herb),1970,281
Americas,Canada,CAN,Cannabis-type,Hashish (resin),1970,73
Americas,Chile,CHL,Cocaine-type,"Cocaine (base, paste and salts)",1970,80
Americas,Chile,CHL,Cannabis-type,Marijuana (herb),1970,31
Africa,Cameroon,CMR,Cannabis-type,Marijuana (herb),1970,310
Europe,Czechoslovakia,CZE,Cannabis-type,Hashish (resin),1970,18
Europe,Denmark,DNK,Opioids,Opium,1970,3
Europe,Denmark,DNK,Cannabis-type,Marijuana (herb),1970,671
Africa,Egypt,EGY,Opioids,Opium,1970,3672
Africa,Egypt,EGY,Cannabis-type,Marijuana (herb),1970,11461
Europe,Sweden,SWE,Opioids,Heroin,1970,0.135329997
Europe,Sweden,SWE,Cannabis-type,Hashish (resin),1970,325
Europe,Sweden,SWE,ATS,Amphetamine,1970,3
Europe,Sweden,SWE,Opioids,Heroin,1971,NULL
Europe,Sweden,SWE,Cannabis-type,Hashish (resin),1971,237
Europe,Sweden,SWE,ATS,Amphetamine,1971,2
Europe,Sweden,SWE,ATS,Amphetamine,1971,0.300000012
Europe,Sweden,SWE,ATS,Amphetamine,1971,2.112297
Europe,Sweden,SWE,Opioids,Heroin,1972,NULL
Europe,Sweden,SWE,Cannabis-type,Hashish (resin),1972,234
Europe,Sweden,SWE,ATS,Amphetamine,1972,3
Europe,Sweden,SWE,ATS,Amphetamine,1973,18.727566
Europe,Sweden,SWE,Opioids,Heroin,1973,NULL
Europe,Sweden,SWE,Cannabis-type,Hashish (resin),1973,255
Europe,Sweden,SWE,ATS,Amphetamine,1973,32
Europe,Sweden,SWE,Opioids,Heroin,1974,NULL
Europe,Sweden,SWE,Cannabis-type,Hashish (resin),1974,238
Europe,Sweden,SWE,ATS,Amphetamine,1974,24
Europe,Sweden,SWE,ATS,Amphetamine,1974,0.800000012
Europe,Sweden,SWE,ATS,Amphetamine,1974,55.480876
Europe,Sweden,SWE,Cocaine-type,"Cocaine (base, paste and salts)",1975,NULL
Europe,Sweden,SWE,Opioids,Heroin,1975,NULL
Europe,Sweden,SWE,Cannabis-type,Hashish (resin),1975,269
Europe,Sweden,SWE,ATS,Amphetamine,1975,40
Europe,Sweden,SWE,ATS,Amphetamine,1975,0.100000001
Europe,Sweden,SWE,ATS,Amphetamine,1975,8.200489
Europe,Sweden,SWE,Cocaine-type,"Cocaine (base, paste and salts)",1976,NULL
Europe,Sweden,SWE,Opioids,Heroin,1976,17
Europe,Sweden,SWE,Cannabis-type,Hashish (resin),1976,320
Europe,Sweden,SWE,ATS,Amphetamine,1976,99
Europe,Sweden,SWE,ATS,Amphetamine,1976,0.300000012
Europe,Sweden,SWE,ATS,Amphetamine,1976,0.958364
Europe,Sweden,SWE,Cocaine-type,"Cocaine (base, paste and salts)",1977,1
Europe,Sweden,SWE,Opioids,Heroin,1977,2
Europe,Sweden,SWE,Cannabis-type,Hashish (resin),1977,658
Europe,Sweden,SWE,ATS,Amphetamine,1977,53
Europe,Sweden,SWE,ATS,Amphetamine,1977,2.299999952
Europe,Sweden,SWE,ATS,Amphetamine,1977,1.079298
Europe,Sweden,SWE,Cocaine-type,"Cocaine (base, paste and salts)",1978,1
Europe,Sweden,SWE,Opioids,Heroin,1978,4
Europe,Sweden,SWE,Cannabis-type,Hashish (resin),1978,478
Europe,Sweden,SWE,ATS,Amphetamine,1978,30
Europe,Sweden,SWE,ATS,Amphetamine,1978,0.600000024
Europe,Sweden,SWE,ATS,Amphetamine,1978,0.095887
Europe,Sweden,SWE,Cocaine-type,"Cocaine (base, paste and salts)",1979,2
Europe,Sweden,SWE,Opioids,Heroin,1979,4
Europe,Sweden,SWE,Cannabis-type,Hashish (resin),1979,804
Europe,Sweden,SWE,ATS,Amphetamine,1979,21
Europe,Sweden,SWE,ATS,Amphetamine,1979,0.400000006
Europe,Sweden,SWE,ATS,Amphetamine,1979,0.547745
Asia,Afghanistan,AFG,Sedatives and Tranquillizers,Depressants (excluding Methaqualone),1980,0.419999991
Asia,Afghanistan,AFG,Opioids,Heroin,1980,0.029999999
Asia,Afghanistan,AFG,Opioids,Illicit morphine,1980,32
Asia,Afghanistan,AFG,Opioids,Opium,1980,5771
Asia,Afghanistan,AFG,Cannabis-type,Hashish (resin),1980,513
Africa,Algeria,DZA,Cannabis-type,Marijuana (herb),1980,240
Americas,Argentina,ARG,Sedatives and Tranquillizers,Depressants (excluding Methaqualone),1980,0.553889988
Americas,Argentina,ARG,Cocaine-type,"Cocaine (base, paste and salts)",1980,44.69300079
Americas,Argentina,ARG,Sedatives and Tranquillizers,Depressants (excluding Methaqualone),1980,127.2799988
Americas,Argentina,ARG,Opioids,Heroin,1980,0.002
Americas,Argentina,ARG,Opioids,Illicit morphine,1980,0.538999975
Americas,Argentina,ARG,Opioids,Opium,1980,0.421999991
Americas,Argentina,ARG,Cocaine-type,Coca leaf,1980,21392
Americas,Argentina,ARG,Cannabis-type,Marijuana (herb),1980,430
Americas,Argentina,ARG,Cannabis-type,Cannabis plants,1980,18.5
Americas,Argentina,ARG,Hallucinogens,LSD,1980,1.05E-06
Oceania,Australia,AUS,Sedatives and Tranquillizers,Depressants (excluding Methaqualone),1980,0.02088
Oceania,Australia,AUS,Hallucinogens,Non-specified hallucinogens,1980,0.0206
Oceania,Australia,AUS,Opioids,Heroin,1980,0.01071
Oceania,Australia,AUS,Opioids,Illicit morphine,1980,0.0054
Oceania,Australia,AUS,ATS,Non-specified ATS,1980,0.42
Oceania,Australia,AUS,Non-specified,Non-specified,1980,0.01942
Oceania,Australia,AUS,Cannabis-type,Cannabis oil,1980,0.156900006
Oceania,Australia,AUS,Cannabis-type,Cannabis plants,1980,20795.6
Oceania,Australia,AUS,Cannabis-type,Cannabis seed,1980,2.775839938
Oceania,Australia,AUS,Cocaine-type,"Cocaine (base, paste and salts)",1980,7.160999775
Oceania,Australia,AUS,Sedatives and Tranquillizers,Depressants (excluding Methaqualone),1980,0.001
Oceania,Australia,AUS,Hallucinogens,Non-specified hallucinogens,1980,0.044
Oceania,Australia,AUS,Opioids,Heroin,1980,12.35999966
Oceania,Australia,AUS,Opioids,Illicit morphine,1980,0.107000001
Oceania,Australia,AUS,Opioids,Opium,1980,0.002
Oceania,Australia,AUS,Opioids,Other illicit opioids,1980,0.000625
Oceania,Australia,AUS,ATS,Non-specified ATS,1980,0.916000009
Oceania,Australia,AUS,Non-specified,Non-specified,1980,0.024
Oceania,Australia,AUS,Opioids,Poppy plants,1980,36.1
Oceania,Australia,AUS,Cannabis-type,Cannabis oil,1980,121.7559967
Oceania,Australia,AUS,Cannabis-type,Marijuana (herb),1980,855
Oceania,Australia,AUS,Cannabis-type,Hashish (resin),1980,61
Oceania,Australia,AUS,Cannabis-type,Cannabis plants,1980,2441
Oceania,Australia,AUS,Cannabis-type,Cannabis seed,1980,3
Oceania,Australia,AUS,Hallucinogens,LSD,1980,0.00025645
Europe,Austria,AUT,Opioids,Illicit morphine,1980,0.0013
Europe,Austria,AUT,Cocaine-type,"Cocaine (base, paste and salts)",1980,0.034000002
Europe,Austria,AUT,Opioids,Heroin,1980,12.61600018
Europe,Austria,AUT,Opioids,Illicit morphine,1980,1.493999958
Europe,Austria,AUT,Opioids,Opium,1980,0.546000004
Europe,Austria,AUT,ATS,Non-specified ATS,1980,1.0475
Europe,Austria,AUT,Cannabis-type,Cannabis oil,1980,45.52999878
Europe,Austria,AUT,Cannabis-type,Marijuana (herb),1980,143
Europe,Austria,AUT,Cannabis-type,Hashish (resin),1980,217
Europe,Austria,AUT,Cannabis-type,Cannabis plants,1980,36.9
Europe,Austria,AUT,Cannabis-type,Cannabis seed,1980,1
Europe,Austria,AUT,Hallucinogens,LSD,1980,8.05E-06
Asia,Bahrain,BHR,Opioids,Opium,1980,3
Asia,Bahrain,BHR,Cannabis-type,Hashish (resin),1980,10
Americas,Barbados,BRB,Cannabis-type,Marijuana (herb),1980,NULL
Europe,Belgium,BEL,Opioids,Heroin,1980,0.00147
Europe,Belgium,BEL,Opioids,Illicit morphine,1980,0.0001
Europe,Belgium,BEL,ATS,Non-specified ATS,1980,0.0095
Europe,Belgium,BEL,Cocaine-type,"Cocaine (base, paste and salts)",1980,1.470000029
Europe,Belgium,BEL,Sedatives and Tranquillizers,Depressants (excluding Methaqualone),1980,0.00675
Europe,Belgium,BEL,Hallucinogens,Non-specified hallucinogens,1980,0.005
Europe,Belgium,BEL,Opioids,Heroin,1980,33.64500046
Europe,Belgium,BEL,Opioids,Illicit morphine,1980,0.219999999
Europe,Belgium,BEL,Opioids,Opium,1980,0.002
Europe,Belgium,BEL,ATS,Non-specified ATS,1980,45.11299896
Europe,Belgium,BEL,Cannabis-type,Cannabis oil,1980,0.331999987
Europe,Belgium,BEL,Cannabis-type,Marijuana (herb),1980,2231
Europe,Belgium,BEL,Cannabis-type,Hashish (resin),1980,166
Europe,Belgium,BEL,Cannabis-type,Cannabis plants,1980,16
Europe,Belgium,BEL,Cannabis-type,Cannabis seed,1980,0.01837
Europe,Belgium,BEL,Hallucinogens,LSD,1980,5.75E-05
Africa,Benin,BEN,Cannabis-type,Marijuana (herb),1980,297
Americas,Bermuda,BMU,Cocaine-type,"Cocaine (base, paste and salts)",1980,22
Americas,Bermuda,BMU,Opioids,Heroin,1980,23
Americas,Bermuda,BMU,Cannabis-type,Marijuana (herb),1980,236
Asia,Bangladesh,BGD,Opioids,Illicit morphine,1980,0.011
Asia,Bangladesh,BGD,Opioids,Opium,1980,11
Asia,Bangladesh,BGD,Non-specified,Non-specified,1980,0.046
Asia,Bangladesh,BGD,Cannabis-type,Marijuana (herb),1980,332
Asia,Bangladesh,BGD,Cannabis-type,Cannabis plants,1980,76.2
Americas,Bahamas,BHS,Cocaine-type,"Cocaine (base, paste and salts)",1980,9
Americas,Bahamas,BHS,Cannabis-type,Marijuana (herb),1980,223075
Americas,Bolivia (Plurinational State of),BOL,Cocaine-type,"Cocaine (base, paste and salts)",1980,400
Americas,Bolivia (Plurinational State of),BOL,Cocaine-type,Coca leaf,1980,14508
Americas,Bolivia (Plurinational State of),BOL,Cannabis-type,Marijuana (herb),1980,4
Americas,Brazil,BRA,ATS,Non-specified ATS,1980,0.0475
Americas,Brazil,BRA,Cocaine-type,"Cocaine (base, paste and salts)",1980,92.83200073
Americas,Brazil,BRA,Sedatives and Tranquillizers,Depressants (excluding Methaqualone),1980,0.154379997
Americas,Brazil,BRA,ATS,Non-specified ATS,1980,0.086999997
Americas,Brazil,BRA,Cocaine-type,Coca leaf,1980,1
Americas,Brazil,BRA,Cannabis-type,Marijuana (herb),1980,88503
Americas,Brazil,BRA,Cannabis-type,Hashish (resin),1980,0.503000021
Americas,Brazil,BRA,Cannabis-type,Cannabis plants,1980,8.2
Americas,Brazil,BRA,Cannabis-type,Cannabis seed,1980,0.01319
Americas,Brazil,BRA,Hallucinogens,LSD,1980,2.85E-06
Europe,Bulgaria,BGR,Opioids,Heroin,1980,22.72999954
Europe,Bulgaria,BGR,Cannabis-type,Hashish (resin),1980,466
Americas,British Virgin Islands,VGB,Cannabis-type,Marijuana (herb),1980,0.38499999
Americas,Belize,BLZ,Cannabis-type,Marijuana (herb),1980,2275
Americas,Canada,CAN,Sedatives and Tranquillizers,Depressants (excluding Methaqualone),1980,0.645699986
Americas,Canada,CAN,Hallucinogens,Non-specified hallucinogens,1980,0.629800009
Americas,Canada,CAN,ATS,Non-specified ATS,1980,67.8665
Americas,Canada,CAN,Hallucinogens,LSD,1980,0.0095879
Americas,Canada,CAN,Cocaine-type,"Cocaine (base, paste and salts)",1980,43.14699936
Americas,Canada,CAN,Sedatives and Tranquillizers,Depressants (excluding Methaqualone),1980,0.338
Americas,Canada,CAN,Hallucinogens,Non-specified hallucinogens,1980,49.04100037
Americas,Canada,CAN,Opioids,Heroin,1980,6.586999893
Americas,Canada,CAN,Opioids,Opium,1980,0.801999986
Americas,Canada,CAN,Opioids,Other illicit opioids,1980,12.66100025
Americas,Canada,CAN,ATS,Non-specified ATS,1980,45.81999969
Americas,Canada,CAN,Non-specified,Non-specified,1980,0.246000007
Americas,Canada,CAN,Cannabis-type,Cannabis oil,1980,143.7120056
Americas,Canada,CAN,Cannabis-type,Marijuana (herb),1980,33879
Americas,Canada,CAN,Cannabis-type,Hashish (resin),1980,11993
Americas,Canada,CAN,Cannabis-type,Cannabis plants,1980,3812.9
Americas,Canada,CAN,Hallucinogens,LSD,1980,0.437999994
Americas,Cayman Islands,CYM,Cannabis-type,Marijuana (herb),1980,1919
Americas,Chile,CHL,Cocaine-type,"Cocaine (base, paste and salts)",1980,75.04499817
Americas,Chile,CHL,Sedatives and Tranquillizers,Depressants (excluding Methaqualone),1980,0.00025
Americas,Chile,CHL,ATS,Non-specified ATS,1980,0.58875
Americas,Chile,CHL,Cannabis-type,Marijuana (herb),1980,2649
Africa,Cameroon,CMR,Cannabis-type,Marijuana (herb),1980,239
Americas,Colombia,COL,Sedatives and Tranquillizers,Depressants (excluding Methaqualone),1980,138.9918369
Americas,Colombia,COL,Cocaine-type,"Cocaine (base, paste and salts)",1980,2111.300049
Americas,Colombia,COL,Sedatives and Tranquillizers,Depressants (excluding Methaqualone),1980,13
Americas,Colombia,COL,ATS,Non-specified ATS,1980,293.88625
Americas,Colombia,COL,Cocaine-type,Coca leaf,1980,5157
Americas,Colombia,COL,Cannabis-type,Marijuana (herb),1980,743813
Americas,Colombia,COL,Cannabis-type,Cannabis plants,1980,11385
Americas,Colombia,COL,Cocaine-type,Coca bush,1980,106665
Americas,Costa Rica,CRI,Cannabis-type,Marijuana (herb),1980,103
Americas,Costa Rica,CRI,Cannabis-type,Cannabis plants,1980,999
Americas,Costa Rica,CRI,Cannabis-type,Cannabis seed,1980,0.086000003
Europe,Cyprus,CYP,Opioids,Heroin,1980,0.49000001
Europe,Cyprus,CYP,Cannabis-type,Marijuana (herb),1980,0.024
Europe,Cyprus,CYP,Cannabis-type,Hashish (resin),1980,7381
Europe,Czechoslovakia,CZE,Opioids,Illicit morphine,1980,0.449999988
Europe,Czechoslovakia,CZE,Cannabis-type,Marijuana (herb),1980,4
Europe,Czechoslovakia,CZE,Cannabis-type,Hashish (resin),1980,4
Europe,Denmark,DNK,Opioids,Illicit morphine,1980,0.324000005
Europe,Denmark,DNK,ATS,Non-specified ATS,1980,0.00375
Europe,Denmark,DNK,Opioids,Poppy plants,1980,5
Europe,Denmark,DNK,Cannabis-type,Cannabis plants,1980,400
Europe,Denmark,DNK,Non-specified,Non-specified,1980,0.00673
Europe,Denmark,DNK,Cocaine-type,"Cocaine (base, paste and salts)",1980,0.940999985
Europe,Denmark,DNK,Sedatives and Tranquillizers,Depressants (excluding Methaqualone),1980,0.00094
Europe,Denmark,DNK,Opioids,Heroin,1980,12.00300026
Europe,Denmark,DNK,Opioids,Illicit morphine,1980,1.472000003
Europe,Denmark,DNK,Opioids,Opium,1980,13
Europe,Denmark,DNK,ATS,Non-specified ATS,1980,0.216000006
Europe,Denmark,DNK,Non-specified,Non-specified,1980,0.648000002
Europe,Denmark,DNK,Opioids,Opium,1980,0.002
Europe,Denmark,DNK,Opioids,Poppy plants,1980,93
Europe,Denmark,DNK,Cannabis-type,Cannabis oil,1980,7.278999805
Europe,Denmark,DNK,Cannabis-type,Marijuana (herb),1980,7
Europe,Denmark,DNK,Cannabis-type,Hashish (resin),1980,1375
Europe,Denmark,DNK,Cannabis-type,Cannabis plants,1980,17
Europe,Denmark,DNK,Hallucinogens,LSD,1980,2.02E-05
Africa,Djibouti,DJI,Cannabis-type,Marijuana (herb),1980,2
Americas,Ecuador,ECU,Cocaine-type,"Cocaine (base, paste and salts)",1980,157
Americas,Ecuador,ECU,Cannabis-type,Marijuana (herb),1980,101
Africa,Egypt,EGY,Sedatives and Tranquillizers,Depressants (excluding Methaqualone),1980,946.7999878
Africa,Egypt,EGY,Opioids,Heroin,1980,0.254999995
Africa,Egypt,EGY,Opioids,Opium,1980,3185
Africa,Egypt,EGY,ATS,Non-specified ATS,1980,324
Africa,Egypt,EGY,Opioids,Poppy plants,1980,491517.8
Africa,Egypt,EGY,Cannabis-type,Hashish (resin),1980,11638
Africa,Egypt,EGY,Cannabis-type,Cannabis plants,1980,8148.7
Europe,Finland,FIN,Cocaine-type,"Cocaine (base, paste and salts)",1980,0.002
Europe,Finland,FIN,Sedatives and Tranquillizers,Depressants (excluding Methaqualone),1980,0.00084
Europe,Finland,FIN,Opioids,Heroin,1980,0.00036
Europe,Finland,FIN,Opioids,Illicit morphine,1980,0.032000002
Europe,Finland,FIN,ATS,Non-specified ATS,1980,0.028999999
Europe,Finland,FIN,Non-specified,Non-specified,1980,0.00121
Europe,Finland,FIN,Cannabis-type,Hashish (resin),1980,12
Europe,Finland,FIN,Hallucinogens,LSD,1980,NULL
Oceania,French Polynesia,PYF,Cocaine-type,"Cocaine (base, paste and salts)",1980,0.002
Oceania,French Polynesia,PYF,Hallucinogens,Non-specified hallucinogens,1980,0.01
Oceania,French Polynesia,PYF,Cannabis-type,Marijuana (herb),1980,0.017999999
Oceania,French Polynesia,PYF,Cannabis-type,Hashish (resin),1980,0.039999999
Europe,France,FRA,Cocaine-type,"Cocaine (base, paste and salts)",1980,57.83200073
Europe,France,FRA,Hallucinogens,Non-specified hallucinogens,1980,0.083999999
Europe,France,FRA,Opioids,Heroin,1980,74.4940033
Europe,France,FRA,Opioids,Illicit morphine,1980,14.9119997
Europe,France,FRA,Opioids,Opium,1980,10
Europe,France,FRA,ATS,Non-specified ATS,1980,0.071000002
Europe,France,FRA,Cannabis-type,Cannabis oil,1980,100.0910034
Europe,France,FRA,Cannabis-type,Marijuana (herb),1980,3448
Europe,France,FRA,Cannabis-type,Hashish (resin),1980,3647
Europe,France,FRA,Cannabis-type,Cannabis plants,1980,801
Europe,France,FRA,Cannabis-type,Cannabis seed,1980,7
Europe,France,FRA,Hallucinogens,LSD,1980,0.00071375
Europe,France,FRA,Substances not under international control,Plant-based NPS,1980,7.400000095
Europe,German Democratic Republic,DEU,Cocaine-type,"Cocaine (base, paste and salts)",1980,0.017999999
Europe,German Democratic Republic,DEU,Opioids,Heroin,1980,5.21600008
Europe,German Democratic Republic,DEU,Opioids,Illicit morphine,1980,0.001
Europe,German Democratic Republic,DEU,Opioids,Opium,1980,0.402999997
Europe,German Democratic Republic,DEU,Cannabis-type,Cannabis oil,1980,0.033
Europe,German Democratic Republic,DEU,Cannabis-type,Marijuana (herb),1980,0.207000002
Europe,German Democratic Republic,DEU,Cannabis-type,Hashish (resin),1980,126
Europe,German Democratic Republic,DEU,Hallucinogens,LSD,1980,2.00E-07
Europe,Federal Republic of Germany,DEU,Cocaine-type,"Cocaine (base, paste and salts)",1980,0.0066
Europe,Federal Republic of Germany,DEU,Hallucinogens,Non-specified hallucinogens,1980,0.0047
Europe,Federal Republic of Germany,DEU,Opioids,Heroin,1980,0.109979998
Europe,Federal Republic of Germany,DEU,ATS,Non-specified ATS,1980,0.066
Europe,Federal Republic of Germany,DEU,Opioids,Poppy plants,1980,154.4
Europe,Federal Republic of Germany,DEU,Cannabis-type,Cannabis plants,1980,361.5
Europe,Federal Republic of Germany,DEU,Cocaine-type,"Cocaine (base, paste and salts)",1980,22.27099991
Europe,Federal Republic of Germany,DEU,Sedatives and Tranquillizers,Depressants (excluding Methaqualone),1980,0.047539999
Europe,Federal Republic of Germany,DEU,Hallucinogens,Non-specified hallucinogens,1980,0.370999992
Europe,Federal Republic of Germany,DEU,Opioids,Heroin,1980,267.0840149
Europe,Federal Republic of Germany,DEU,Opioids,Illicit morphine,1980,5.102000237
Europe,Federal Republic of Germany,DEU,Opioids,Opium,1980,11
Europe,Federal Republic of Germany,DEU,Opioids,Other illicit opioids,1980,0.057
Europe,Federal Republic of Germany,DEU,ATS,Non-specified ATS,1980,13.8739996
Europe,Federal Republic of Germany,DEU,Non-specified,Non-specified,1980,0.064999998
Europe,Federal Republic of Germany,DEU,Opioids,Opium,1980,0.289999992
Europe,Federal Republic of Germany,DEU,Opioids,Poppy plants,1980,4
Europe,Federal Republic of Germany,DEU,Cannabis-type,Cannabis oil,1980,13.83699989
Europe,Federal Republic of Germany,DEU,Cannabis-type,Marijuana (herb),1980,3186
Europe,Federal Republic of Germany,DEU,Cannabis-type,Cannabis plants,1980,0.041999999
Europe,Federal Republic of Germany,DEU,Cannabis-type,Cannabis seed,1980,0.008
Europe,Federal Republic of Germany,DEU,Hallucinogens,LSD,1980,0.00144405
Europe,Federal Republic of Germany,DEU,Opioids,Illicit morphine,1980,0.075000003
Europe,Federal Republic of Germany,DEU,Opioids,Illicit morphine,1980,0.210900003
Europe,Federal Republic of Germany,DEU,Opioids,Other illicit opioids,1980,0.071000002
Europe,Federal Republic of Germany,DEU,Opioids,Other illicit opioids,1980,0.01515
Europe,Federal Republic of Germany,DEU,Non-specified,Non-specified,1980,6.302000046
Europe,Federal Republic of Germany,DEU,Non-specified,Non-specified,1980,0.086539998
Europe,Greece,GRC,Cocaine-type,"Cocaine (base, paste and salts)",1980,0.086999997
Europe,Greece,GRC,Sedatives and Tranquillizers,Depressants (excluding Methaqualone),1980,0.00255
Europe,Greece,GRC,Opioids,Heroin,1980,0.023
Europe,Greece,GRC,Opioids,Illicit morphine,1980,0.028999999
Europe,Greece,GRC,Opioids,Opium,1980,1
Europe,Greece,GRC,ATS,Non-specified ATS,1980,0.02125
Europe,Greece,GRC,Opioids,Poppy plants,1980,27.8
Europe,Greece,GRC,Cannabis-type,Cannabis oil,1980,18
Europe,Greece,GRC,Cannabis-type,Marijuana (herb),1980,196
Europe,Greece,GRC,Cannabis-type,Hashish (resin),1980,103
Europe,Greece,GRC,Cannabis-type,Cannabis plants,1980,626.9
Europe,Greece,GRC,Hallucinogens,LSD,1980,5.00E-07
Americas,Guyana,GUY,Cannabis-type,Marijuana (herb),1980,70
Asia,"China, Hong Kong SAR",HKG,Sedatives and Tranquillizers,Depressants (excluding Methaqualone),1980,0.059
Asia,"China, Hong Kong SAR",HKG,Opioids,Heroin,1980,115.1600037
Asia,"China, Hong Kong SAR",HKG,Opioids,Illicit morphine,1980,2.009000063
Asia,"China, Hong Kong SAR",HKG,Opioids,Opium,1980,86
Asia,"China, Hong Kong SAR",HKG,ATS,Non-specified ATS,1980,NULL
Asia,"China, Hong Kong SAR",HKG,Cannabis-type,Marijuana (herb),1980,38
Americas,Honduras,HND,Cocaine-type,"Cocaine (base, paste and salts)",1980,0.015
Americas,Honduras,HND,Cannabis-type,Marijuana (herb),1980,171
Americas,Honduras,HND,Cannabis-type,Cannabis plants,1980,1256.9
Americas,Honduras,HND,Cannabis-type,Cannabis seed,1980,0.139999997
Europe,Hungary,HUN,Opioids,Heroin,1980,0.331
Europe,Iceland,ISL,Sedatives and Tranquillizers,Depressants (excluding Methaqualone),1980,0.025
Europe,Iceland,ISL,ATS,Non-specified ATS,1980,0.003
Europe,Iceland,ISL,Cannabis-type,Cannabis oil,1980,0.025
Europe,Iceland,ISL,Cannabis-type,Marijuana (herb),1980,0.052999999
Europe,Iceland,ISL,Cannabis-type,Hashish (resin),1980,3
Europe,Iceland,ISL,Cannabis-type,Cannabis plants,1980,0.708999991
Europe,Iceland,ISL,Cannabis-type,Cannabis seed,1980,0.078000002
Europe,Iceland,ISL,Hallucinogens,LSD,1980,1.20E-05
Asia,India,IND,Opioids,Illicit morphine,1980,0.0088
Asia,India,IND,Cocaine-type,"Cocaine (base, paste and salts)",1980,0.016000001
Asia,India,IND,Sedatives and Tranquillizers,Depressants (excluding Methaqualone),1980,77.375
Asia,India,IND,Opioids,Heroin,1980,1.475000024
Asia,India,IND,Opioids,Illicit morphine,1980,6.274000168
Asia,India,IND,Opioids,Opium,1980,4199
Asia,India,IND,Opioids,Other illicit opioids,1980,12.18999958
Asia,India,IND,Non-specified,Non-specified,1980,0.00205
Asia,India,IND,Opioids,Poppy plants,1980,14283
Asia,India,IND,Cannabis-type,Marijuana (herb),1980,18570
Asia,India,IND,Cannabis-type,Hashish (resin),1980,1841
Asia,India,IND,Cannabis-type,Cannabis plants,1980,2622.7
Asia,Indonesia,IDN,Sedatives and Tranquillizers,Depressants (excluding Methaqualone),1980,0.711000025
Asia,Indonesia,IDN,Opioids,Heroin,1980,6.25
Asia,Indonesia,IDN,Opioids,Illicit morphine,1980,0.126000002
Asia,Indonesia,IDN,Opioids,Opium,1980,0.111000001
Asia,Indonesia,IDN,Cannabis-type,Marijuana (herb),1980,1328
Asia,Indonesia,IDN,Cannabis-type,Cannabis plants,1980,805
Asia,Indonesia,IDN,Cannabis-type,Cannabis seed,1980,0.428000003
Asia,Indonesia,IDN,Sedatives and Tranquillizers,Depressants (excluding Methaqualone),1980,0.00438
Asia,Iran (Islamic Republic of),IRN,Opioids,Heroin,1980,500
Asia,Iran (Islamic Republic of),IRN,Opioids,Illicit morphine,1980,20
Asia,Iran (Islamic Republic of),IRN,Opioids,Opium,1980,30000
Asia,Iran (Islamic Republic of),IRN,Cannabis-type,Hashish (resin),1980,6000
Europe,Ireland,IRL,Cocaine-type,"Cocaine (base, paste and salts)",1980,NULL
Europe,Ireland,IRL,Sedatives and Tranquillizers,Depressants (excluding Methaqualone),1980,NULL
Europe,Ireland,IRL,Hallucinogens,Non-specified hallucinogens,1980,NULL
Europe,Ireland,IRL,Opioids,Heroin,1980,NULL
Europe,Ireland,IRL,Opioids,Illicit morphine,1980,NULL
Europe,Ireland,IRL,Opioids,Opium,1980,NULL
Europe,Ireland,IRL,ATS,Non-specified ATS,1980,NULL
Europe,Ireland,IRL,Cannabis-type,Cannabis oil,1980,0.035999998
Europe,Ireland,IRL,Cannabis-type,Marijuana (herb),1980,551
Europe,Ireland,IRL,Cannabis-type,Hashish (resin),1980,34
Europe,Ireland,IRL,Cannabis-type,Cannabis plants,1980,209.9
Europe,Ireland,IRL,Hallucinogens,LSD,1980,NULL
Asia,Iraq,IRQ,Cannabis-type,Hashish (resin),1980,13
Asia,Israel,ISR,Opioids,Heroin,1980,5
Asia,Israel,ISR,Cannabis-type,Marijuana (herb),1980,2
Asia,Israel,ISR,Cannabis-type,Hashish (resin),1980,1442
Europe,Italy,ITA,Cocaine-type,"Cocaine (base, paste and salts)",1980,0.0242
Europe,Italy,ITA,Opioids,Heroin,1980,0.080009998
Europe,Italy,ITA,Opioids,Illicit morphine,1980,0.233500003
Europe,Italy,ITA,ATS,Non-specified ATS,1980,0.10375
Europe,Italy,ITA,Non-specified,Non-specified,1980,0.040499999
Europe,Italy,ITA,Hallucinogens,LSD,1980,1.19E-05
Europe,Italy,ITA,Cocaine-type,"Cocaine (base, paste and salts)",1980,52.97999954
Europe,Italy,ITA,Sedatives and Tranquillizers,Depressants (excluding Methaqualone),1980,0.00281
Europe,Italy,ITA,Hallucinogens,Non-specified hallucinogens,1980,0.0007
